"ppntID","colblind","gender","age","language","country","screenheight","screenwidth"
4358630,"no","female","44","english","United States",768,1024
4841389,"no","male","38","english","United States",1024,1280
1451897,"no","female","41","english","United States",768,1366
2569233,"no","male","46","english","United States",1174,1762
2460173,"no","male","38","english","United States",1080,1920
7445059,"no","male","32","english","United States",1024,1280
5251732,"no","male","28","english","United States",768,1366
6641414,"no","female","32","english","United States",1080,1920
5296456,"no","female","38","english","United States",1024,1280
4038633,"no","female","34","english","United States",768,1366
5185153,"no","male","38","english","United States",1080,1920
1305602,"no","female","58","english","United States",768,1366
7133307,"no","male","23","english","United States",900,1440
6850499,"no","female","23","english","United States",1050,1680
1788908,"no","male","43","english","United States",1080,1920
7829279,"no","male","23","english","United States",1080,1920
992920,"no","female","29","english","United States",768,1366
5049632,"no","male","26","english","United States",900,1600
2293619,"no","female","43","english","United States",768,1366
545354,"no","female","37","english","United States",768,1366
5604358,"no","male","23","english","United States",1080,1920
6181438,"no","male","39","english","United States",1080,1920
8052652,"no","male","48","english","United States",900,1440
9241893,"no","male","40","italian","United States",1080,1920
5807993,"no","male","26","english","United States",768,1366
8142776,"no","male","36","english","United States",1080,1920
8488289,"no","male","27","english","United States",1024,1280
4749626,"no","male","37","engliwh","United States",1080,1920
2537869,"no","female","58","english","United States",900,1440
5352173,"no","male","35","english","United States",1080,1920
5411869,"no","male","56","english","United States",720,1280
6328273,"no","male","32","english","United States",864,1536
2157661,"no","female","58","english","United States",900,1440
7532308,"no","male","33","english","United States",864,1536
7047776,"no","male","58","english","United States",900,1600
3102271,"no","female","32","english","United States",768,1366
8052414,"no","male","28","english","United States",1050,1680
3076720,"no","male","31","english","United States",768,1366
7461627,"no","female","38","english","United States",864,1536
291168,"no","male","25","english","United States",768,1366
117669,"no","female","31","english","United States",864,1536
8849180,"no","male","38","english","United States",1080,1920
7546866,"no","male","50","english","United States",1440,2560
9476724,"no","male","33","english","United States",864,1536
657629,"no","male","43","english","United States",864,1536
3081765,"no","male","37","english","United States",864,1536
1131120,"yes","male","29","english","United States",900,1600
3190387,"no","female","48","english","United States",1050,1680
4915111,"no","male","33","english","United States",1080,1920
530237,"no","male","36","english","United States",1080,1920
7699439,"no","female","39","english","United States",1080,1920
1996195,"no","male","33","english","United States",1050,1680
9956934,"no","male","29","english","United States",1080,1920
3296285,"no","female","40","english","United States",1080,1920
5569992,"no","male","35","english","United States",900,1600
8763618,"no","male","35","engl","United States",864,1536
4656380,"no","male","37","english","United States",864,1536
3915116,"no","male","29","english","United States",1024,1280
760293,"no","male","37","english","United States",1050,1680
150561,"no","male","53","english","United States",864,1536
4964693,"no","female","31","english","United States",1024,1280
6695520,"no","male","57","english","United States",768,1366
7901837,"no","male","45","english","United States",1080,1920
9347775,"no","male","54","english","United States",1024,1280
7401403,"no","female","34","english","United States",864,1536
628008,"no","female","62","english","United States",900,1600
4018701,"yes","male","29","english","United States",768,1366
2360870,"no","male","36","english","United States",1080,1920
8022313,"no","male","34","english","United States",1080,1920
8628675,"no","male","40","english","United States",1600,2560
5517603,"no","female","50","english","United States",900,1600
387148,"no","female","24","english","United States",864,1536
7284782,"no","female","27","english","United States",768,1364
3288417,"no","male","45","english","United States",1080,1920
9160818,"no","male","36","english","United States",768,1366
8315351,"no","male","50","english","United States",1200,1920
7597856,"no","female","21","english","United States",768,1366
3373523,"no","female","28","english","United States",768,1366
6075536,"no","male","56","english","United States",768,1360
3430365,"no","male","31","english","United States",902,1603
9949434,"no","male","34","english","United States",1080,1920
9144049,"no","male","32","english","United States",1080,1920
5269269,"no","male","26","english","United States",768,1366
2917102,"no","female","53","english","United States",900,1600
9665758,"no","male","39","english","United States",996,1920
8533397,"no","male","27","english","United States",1440,2560